en	zh
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
after traffic	在交通之后
NAV	导航
<FIVE>	<FIVE>
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
turn left vacate runway	左转 滑行
NAV	导航
apron PHILIPPINE three three nine request sequence	机坪 菲律宾航空 三三九 请求顺序
one one eight decimal six five good day CHINA EASTERN five one four	幺幺八点六五 日安 东航 五幺四
go ahead	请讲
<FIVE>	<FIVE>
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
<FOUR-HUNDRED>	<FOUR-HUNDRED>
NAV	导航
land	着陆
read back correct and start up and push back correct runway three five right and pushback and start up approved runway one seven read back correct	复述正确 推回和启动获批 跑道 三五 右 推回和启动获批 跑道 幺拐 复述正确
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
BIG BIRD eight five nine	BIG BIRD 八五九
JAPAN AIR eight zero stand by	日本航空 八洞 待命
approach AIR BUSAN three two two	进近 釜山航空 三两两
QNH one zero one four runway three six right continue approach AIR JUNEYAO one two one zero	QNH 幺洞幺四 跑道 三六 右 继续接近 吉祥航空 幺两幺洞
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
er BRAVO five four one one one HONGQIAO apron now KILO two follow follow-me car stand three two six	BRAVO 五四幺幺幺 虹桥 机坪 现在 KILO 两 跟随引导车 停机位 三两六
BIG BIRD eight eight five	BIG BIRD 八八五
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
via H runway three six right CHINA EASTERN five	通过 H 跑道 三六 右 东航 五
one two one decimal eight BAUHINIA two four six good day	幺两幺点八 BAUHINIA 两四六 日安
check	检查
one one eight six five	幺幺八点六五
<FIVE>	<FIVE>
NAV	导航
climb	爬升
tower good morning AIR JUNEYAO one eight eight one DELTA hold short runway three six left	塔台 早上好 吉祥航空 幺八八幺 DELTA 等待跑道 三六 左
<FORTY>	<FORTY>
one two one nine seven five BAUHINIA two three seven good day	幺两幺点九拐五 BAUHINIA 两三拐 日安
apron AIR SPRING eight five five nine taxi	机坪 春秋航空 八五五九 滑行
land	着陆
apron ASIANA three six six go ahead	机坪 亚航 三六六 请讲
apron THAI six six three	机坪 泰航 六六三
<FORTY>	<FORTY>
<FORTY>	<FORTY>
one one eight decimal four	幺幺八点四
LUFTHANSA eight four six eight	汉莎航空 八四六八
<ENGINE>	<ENGINE>
land	着陆
check	检查
zero six	零六
runway three six right clear to land eight one	跑道 三六 右 清晰着陆 日本航空 八幺
four nine six nine contact QINGDAO ground one two one decimal six five	四九六九 联系青岛地面 幺两幺点六五
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
LUFTHANSA one five ground taxi via DELTA HOTEL one hold	汉莎航空 幺五 地面 通过 DELTA HOTEL 幺 等待
one two one nine seven five EVA six seven five good day	幺两幺点九拐五 EVA 六拐五 日安
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
land	着陆
MALAYSIA three eight nine roger departure time zero nine four zero stand by	马来西亚航空 三八九 收到 出发时间 洞九:四洞 待命
via A hold short of H four	通过 A 等待 H 四
AIR SPRING eight five	春秋航空 八五
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
climb	爬升
AIR JUNEYAO one two one one contact tower HOTEL seven hold short of runway three six left	吉祥航空 幺两幺幺 联系塔台 HOTEL 拐 等待跑道 三六 左
runway three six right clear to land CHINA EASTERN five one six six heavy	跑道 三六 右 清晰着陆 东航 五幺六六 重型
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
check	检查
land	着陆
standard	标准
CATHAY three six five er stand by runway three four left unable to take off stand by	国泰 三六五 待命 跑道 三四 左转 无法起飞 待命
climb	爬升
apron AIR JUNEYAO one zero eight five request taxi	机坪 吉祥航空 幺洞八五 请求滑行
runway heading nine hundred meters JAPAN AIR eight one	跑道方向 九洞洞 米 日本航空 八幺
apron CHINA EASTERN five one two one ready for taxi	机坪 东航 五幺两幺 准备滑行
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
apron good evening CHINA EASTERN five one six three stand two two nine we are ready	机坪 晚安 东航 五幺六三 停机位 两两九 我们准备好了
NAV	导航
CHINA EASTERN five one two three request taxi	东航 五幺两三 请求滑行
two nine good day CAPITAL JET five five one one	两九 日安 首都航空 五五幺幺
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
NAV	导航
CHINA SOUTHERN good day	南方航空 日安
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
LOC	LOC
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
CHINA EASTERN five six four three line up and wait runway three six left	东航 五六四三 排队等候跑道 三六 左
five hundred four four	五洞洞四四
AIR SPRING eight five five nine contact apron one two one decimal nine seven five	春秋航空 八五五九 联系 幺两幺点九拐五
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
SCOOTER one eight six	SCOOTER 幺八六
AIR JUNEYAO one eight eight one continue taxi hold short of DELTA one six	东航 幺八八幺 继续滑行 等待 DELTA 幺六
hold short PAPA two tower one two four three five FEDEX five zero one seven	等待 PAPA 两 塔台 幺两四点三五 联邦快递 五洞幺拐
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
ASIANA three six six apron STAY with me traffic	亚航 三六六 机坪 待命 交通
ground hello LUFTHANSA seven two nine	地面 您好 汉莎航空 拐两九
land	着陆
AIR JUNEYAO one zero eight five er standby due to traffic	吉祥航空 幺洞八五 待命 由于流量
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
AIR SPRING eight eight five six HANGZHOU tower continue ILS approach runway three six right QNH one zero one six	春秋航空 八八五六 杭州塔台 继续 ILS 接近跑道 三六 右 QNH 幺洞幺六
standard	标准
HONGQIAO apron CHINA EASTERN five five one eight holding short of DELTA	虹桥 机坪 东航 五五幺八 等待 DELTA
AUSTRIAN seven six apron standby er at the EAST have	奥地利 拐六 机坪 待命 在东部有
check	检查
JUNEYAO one one nine three	吉祥航空 幺幺九三
<FORTY>	<FORTY>
ILS approach runway zero two right AIR BUSAN	ILS 接近跑道 洞两 右 AIR BUSAN
KILO two follow follow-me stand three two six BRAVO five four one one	KILO 两 跟随引导车 停机位 三两六 BRAVO 五四幺幺
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
CATHAY three two five zero apron taxi LIMA one five parking stand three one six	国泰航空 三两五洞 在停机坪 通过 LIMA 幺五 停机位 三幺六
CHINA EASTERN five three zero eight approach runway three six	东航 五三洞八 接近跑道 三六
CHINA EASTERN five one six two tower continue approach runway three six right QNH one zero one three	东航 五幺六两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
CHINA EASTERN five one one five pushback and start up approved runway three six left	东航 五幺幺五 推回和启动获批 跑道三六左转
SCOOTER one eight three contact tower one one eight decimal six five	SCOOTER 幺八三 联系塔台 幺幺八点六五
er confirm YOU are er YOU can	确认 你能
one two one seven five bye GREEN CITY eight nine six nine	幺两幺点拐五 再见 绿色城市 八九六九
